N,sr,lr,sigma,IP,esr,kl,accuracy
1200,0.4,0.94,0.1,True,0.40000000000000024,0.30844332146393627,0.295
1200,0.4,0.94,0.1,True,0.3999999999999998,0.4326009501706446,0.315
1200,0.4,0.94,0.1,True,0.4000000000000003,0.24443688275632486,0.32
1200,0.4,0.94,0.1,True,0.39999999999999886,0.7728848506040575,0.3
1200,0.4,0.94,0.1,True,0.39999999999999936,0.27477947087349514,0.295
1200,0.4,0.94,0.1,True,0.39999999999999936,0.5640651134058687,0.295
1200,0.4,0.94,0.1,True,0.40000000000000135,0.6910758016061214,0.335
1200,0.4,0.94,0.1,True,0.39999999999999925,0.4856329520023801,0.29
1200,0.4,0.94,0.1,True,0.4,0.3320677488353344,0.315
1200,0.4,0.94,0.1,True,0.4000000000000006,0.3725065615131613,0.335
1200,0.4,0.94,0.1,True,0.39999999999999936,0.4387377143561409,0.315
1200,0.4,0.94,0.1,True,0.39999999999999664,0.38627027762080574,0.32
1200,0.4,0.94,0.1,True,0.39999999999999775,0.7983263517220524,0.315
1200,0.4,0.94,0.1,True,0.40000000000000024,0.4177433201974998,0.29
1200,0.4,0.94,0.1,True,0.3999999999999987,0.22806342018692774,0.295
1200,0.4,0.94,0.1,True,0.4000000000000001,0.5211408541327269,0.32
1200,0.4,0.94,0.1,True,0.39999999999999913,0.3561487256223256,0.315
1200,0.4,0.94,0.1,True,0.40000000000000036,0.6460147074660301,0.3
1200,0.4,0.94,0.1,True,0.4000000000000004,0.45714326516185133,0.335
1200,0.4,0.94,0.1,True,0.39999999999999963,0.4288159230420639,0.305
1200,0.4,0.94,0.1,True,0.3999999999999989,0.49385175234299544,0.295
1200,0.4,0.94,0.1,True,0.4000000000000009,0.32364239866321565,0.315
1200,0.4,0.94,0.1,True,0.39999999999999925,0.3363131046475014,0.32
1200,0.4,0.94,0.1,True,0.4000000000000006,0.4408258951164922,0.325
1200,0.4,0.94,0.1,True,0.3999999999999976,0.6012763583581198,0.315
1200,0.4,0.94,0.2,True,0.40000000000000085,1.687095481820449,0.315
1200,0.4,0.94,0.2,True,0.40000000000000113,1.766208544972173,0.325
1200,0.4,0.94,0.2,True,0.3999999999999996,1.8482584461080083,0.29
1200,0.4,0.94,0.2,True,0.4000000000000003,1.8632423302666288,0.3
1200,0.4,0.94,0.2,True,0.3999999999999989,1.8391943036474534,0.27
1200,0.4,0.94,0.2,True,0.4000000000000003,2.1249387410477247,0.32
1200,0.4,0.94,0.2,True,0.4000000000000015,1.81802207357366,0.32
1200,0.4,0.94,0.2,True,0.39999999999999963,1.9009031115714727,0.335
1200,0.4,0.94,0.2,True,0.40000000000000036,1.8700989826306316,0.295
1200,0.4,0.94,0.2,True,0.4000000000000002,1.918498698453393,0.295
1200,0.4,0.94,0.2,True,0.4,1.6683141477289694,0.31
1200,0.4,0.94,0.2,True,0.4000000000000019,1.857279880127614,0.305
1200,0.4,0.94,0.2,True,0.39999999999999925,1.9361661707701079,0.33
1200,0.4,0.94,0.2,True,0.40000000000000047,2.0842211711663126,0.315
1200,0.4,0.94,0.2,True,0.39999999999999925,1.8403482492599783,0.31
1200,0.4,0.94,0.2,True,0.39999999999999786,1.9206692649424073,0.315
1200,0.4,0.94,0.2,True,0.3999999999999989,1.871624827894971,0.315
1200,0.4,0.94,0.2,True,0.3999999999999984,1.91908029074703,0.325
1200,0.4,0.94,0.2,True,0.40000000000000163,1.694502620422864,0.315
1200,0.4,0.94,0.2,True,0.40000000000000246,1.6055642479770145,0.305
1200,0.4,0.94,0.2,True,0.3999999999999998,1.9775543896226273,0.33
1200,0.4,0.94,0.2,True,0.3999999999999998,1.886745382278478,0.3
1200,0.4,0.94,0.2,True,0.3999999999999997,1.8228763602458447,0.295
1200,0.4,0.94,0.2,True,0.4,1.8551903197740784,0.315
1200,0.4,0.94,0.2,True,0.4000000000000007,1.8849991475269499,0.305
1200,0.4,0.94,0.3,True,0.4000000000000001,1.4327576009449565,0.285
1200,0.4,0.94,0.3,True,0.4,1.4396759883372336,0.33
1200,0.4,0.94,0.3,True,0.399999999999999,1.5271485956208548,0.315
1200,0.4,0.94,0.3,True,0.39999999999999986,1.3061590682395086,0.3
1200,0.4,0.94,0.3,True,0.40000000000000036,1.4289115251214928,0.315
1200,0.4,0.94,0.3,True,0.39999999999999836,1.3715331497980152,0.32
1200,0.4,0.94,0.3,True,0.40000000000000235,1.4090903789029294,0.31
1200,0.4,0.94,0.3,True,0.4000000000000015,1.3809039316682932,0.325
1200,0.4,0.94,0.3,True,0.40000000000000047,1.3984569743433615,0.3
1200,0.4,0.94,0.3,True,0.4000000000000005,1.327920397861892,0.31
1200,0.4,0.94,0.3,True,0.39999999999999847,1.4874712081602397,0.325
1200,0.4,0.94,0.3,True,0.4000000000000005,1.390927084827447,0.295
1200,0.4,0.94,0.3,True,0.40000000000000047,1.3842945211633906,0.32
1200,0.4,0.94,0.3,True,0.40000000000000085,1.3915106541228366,0.32
1200,0.4,0.94,0.3,True,0.40000000000000135,1.3690343819332935,0.335
1200,0.4,0.94,0.3,True,0.40000000000000024,1.4532292735590338,0.295
1200,0.4,0.94,0.3,True,0.3999999999999996,1.512813441436999,0.335
1200,0.4,0.94,0.3,True,0.3999999999999996,1.3073780082106992,0.32
1200,0.4,0.94,0.3,True,0.40000000000000036,1.484535423555248,0.315
1200,0.4,0.94,0.3,True,0.40000000000000036,1.4489008502942724,0.295
